test push
//========================================
Theta Lambda Entropy UtilMaxVariance UtilTimeAvgVariance
0.750000 14 3.653383 0.004337 0.000003
0.800000 14 3.375709 0.004270 0.000003
0.850000 14 2.904380 0.004385 0.000003
0.900000 14 2.604410 0.004333 0.000003
0.950000 14 2.296622 0.004510 0.000003
0.000000 15 -2.000000 0.000013 0.000000
0.050000 15 -2.000000 0.000164 0.000000
0.100000 15 4.368381 0.000758 0.000001
0.150000 15 4.213219 0.001316 0.000001
0.200000 15 3.949331 0.001753 0.000001
0.250000 15 3.616559 0.001918 0.000001
0.300000 15 3.353368 0.002550 0.000001
0.350000 15 3.271035 0.003029 0.000002
0.400000 15 3.396307 0.003186 0.000002
0.450000 15 3.500804 0.003572 0.000002
0.500000 15 3.332977 0.003707 0.000002
0.550000 15 3.308192 0.003989 0.000002
0.600000 15 3.409965 0.004298 0.000002
0.650000 15 3.367583 0.004088 0.000003
0.700000 15 3.246715 0.004221 0.000003
0.750000 15 3.299813 0.004332 0.000003
0.800000 15 3.148921 0.004407 0.000003
0.850000 15 2.978914 0.004312 0.000003
0.900000 15 2.692394 0.004522 0.000003
0.950000 15 2.390865 0.004576 0.000003
0.000000 16 -2.000000 0.000015 0.000000
0.050000 16 4.400879 0.000153 0.000000
